mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2465009689331055,0.02773837581036988,0.017597770690917967,0.0026236118011624798,0.01,3,log2,800,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 800, 'subsample': 1.0}",0.8450026658911347,0.833115214967767,0.84644870987026,0.8657784402113324,0.8655433468271909,0.8511776755535371,0.012698828157841043,1
1.2706846237182616,0.023334185931918053,0.01880803108215332,0.0021046595286228573,0.01,3,log2,800,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 800, 'subsample': 0.8}",0.844566429160002,0.8332242741505501,0.8462427091916694,0.8653502819381835,0.8656464717134502,0.8510060332307712,0.01265265681524624,2
1.4659120082855224,0.04308314960940745,0.015177440643310548,0.0012942389251955435,0.01,3,sqrt,800,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 800, 'subsample': 0.8}",0.8451238427608937,0.8323820949057245,0.8461477873103582,0.8650150259318503,0.8658628317689355,0.8509063165355524,0.01282170362384215,3
0.2747211456298828,0.015410051557348405,0.004965639114379883,0.0017626023113216976,0.1,2,sqrt,200,0.8,"{'learning_rate': 0.1, 'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.8}",0.8461599049973341,0.831893348197696,0.8471757710888147,0.8646312991776129,0.8644837891722914,0.8508688225267498,0.012414944539218984,4
1.409971284866333,0.011688563062876913,0.016504335403442382,0.0021605348218224196,0.01,3,sqrt,800,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 800, 'subsample': 1.0}",0.8451763527377893,0.8317721713279369,0.846573925969011,0.864487906548398,0.866105478560134,0.8508231670286539,0.012908579707271209,5
0.3091847896575928,0.02303216874507301,0.006657934188842774,0.0012965488413144422,0.05,3,log2,200,1.0,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 1.0}",0.843498053091626,0.8335797263018434,0.8440877805244535,0.8673840337356407,0.8649832371508415,0.8507065661608811,0.01319894606997435,6
0.26657824516296386,0.009518793712437159,0.0043064594268798825,0.000845938169202022,0.05,2,sqrt,200,0.8,"{'learning_rate': 0.05, 'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 0.8}",0.846283101481589,0.8318872893542081,0.8451258623753899,0.864498004620878,0.8655979423552107,0.8506784400374553,0.012781466100564166,7
0.2637645244598389,0.016766130604135603,0.0054207324981689455,0.0015015597523639812,0.1,2,log2,200,1.0,"{'learning_rate': 0.1, 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 1.0}",0.8442715654435882,0.832844586625305,0.8468021424070573,0.8651483204885851,0.8638771721942953,0.8505887574317661,0.012309864409295566,8
0.3336592674255371,0.011947632537795494,0.005355930328369141,0.001131446204369643,0.05,3,log2,200,0.8,"{'learning_rate': 0.05, 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'subsample': 0.8}",0.8446330764383694,0.8316893671336016,0.8464911217746757,0.8643162393162394,0.865727353977183,0.8505714317280137,0.012861314637851895,9
0.6085026741027832,0.022771169667683763,0.006973695755004883,0.0007587688177079462,0.05,2,log2,500,1.0,"{'learning_rate': 0.05, 'max_depth': 2, 'max_features': 'log2', 'n_estimators': 500, 'subsample': 1.0}",0.8433990919813226,0.8326123309582666,0.8466910636097782,0.8653563407816718,0.8646920610014034,0.8505501776664885,0.012704428068659441,10
1.1559832572937012,0.01956986562361053,0.014049959182739259,0.0014848307862615076,0.01,4,sqrt,500,1.0,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500, 'subsample': 1.0}",0.8443705265538916,0.8328829593007286,0.8453318630539801,0.8639809833099059,0.8661135667865072,0.8505359798010026,0.01265032895451679,11
1.6662243366241456,0.051852392557118876,0.020925426483154298,0.0014206935825250026,0.01,4,log2,800,1.0,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 800, 'subsample': 1.0}",0.8432839739550515,0.833917001922673,0.8465375729080834,0.8638517279821628,0.8647143036239299,0.85046091607838,0.012025598658121337,12
1.0397235870361328,0.025120301915323186,0.012825822830200196,0.000985339661225858,0.01,4,log2,500,1.0,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500, 'subsample': 1.0}",0.8442816635160681,0.8335635693858757,0.8443584088669154,0.8640961013361771,0.8659113611271754,0.8504422208464424,0.01253456711181768,13
0.25692110061645507,0.011798361219866028,0.0056610584259033205,0.0021403535866717865,0.05,2,sqrt,200,1.0,"{'learning_rate': 0.05, 'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 200, 'subsample': 1.0}",0.8470343980740956,0.8299726948120143,0.8448330182734719,0.8637729630168194,0.8665705515765975,0.8504367251505996,0.013415733252919431,14
1.0333950996398926,0.01808244392572489,0.013761520385742188,0.0012430686799582654,0.01,4,log2,500,0.8,"{'learning_rate': 0.01, 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500, 'subsample': 0.8}",0.8438716817733831,0.8325800171263309,0.8450369993375666,0.864092062107185,0.8664492281809983,0.8504059977050928,0.012914972819805168,15
